date,oneDayBefore,twoDayBefore,threeDayBefore,oneMonthBefore,oneYearBefore,dollorRate,price
2015-01-01,2.36,2.33,2.35,2.45,NULL,611.9515343868371,2.49
2015-01-02,2.49,2.36,2.33,2.42,2.84,611.9000244140625,2.52
2015-01-03,2.52,2.49,2.36,2.36,2.84,611.9000244140625,2.53
2015-01-04,2.53,2.52,2.49,2.29,2.88,611.9000244140625,2.25
2015-01-05,2.25,2.53,2.52,2.36,2.92,611.9000244140625,2.31
2015-01-06,2.31,2.25,2.53,2.41,2.98,612.4527950286865,2.28
2015-01-07,2.28,2.31,2.25,2.38,2.60,612.5507393829093,2.24
2015-01-08,2.24,2.28,2.31,2.45,2.82,612.6666682316707,2.28
2015-01-09,2.28,2.24,2.28,2.30,2.74,612.9784207384125,2.28
2015-01-10,2.28,2.28,2.24,2.24,2.83,612.9656821196934,2.33
2015-01-11,2.33,2.28,2.28,2.32,2.81,612.9600219726562,2.52
2015-01-12,2.52,2.33,2.28,2.42,2.95,612.9600219726562,2.58
2015-01-13,2.58,2.52,2.33,2.27,3.12,612.4046843352141,2.39
2015-01-14,2.39,2.58,2.52,2.34,3.24,611.9991284844016,2.42
2015-01-15,2.42,2.39,2.58,2.45,3.17,612.040556133918,2.34
2015-01-16,2.34,2.42,2.39,2.36,2.86,611.9388559514827,2.44
2015-01-17,2.44,2.34,2.42,2.31,2.88,611.88380623589,2.45
2015-01-18,2.45,2.44,2.34,2.35,2.93,611.8800048828125,2.46
2015-01-19,2.46,2.45,2.44,2.38,2.92,611.8800048828125,2.52
2015-01-20,2.52,2.46,2.45,2.26,2.96,612.2602260973326,2.38
2015-01-21,2.38,2.52,2.46,2.30,2.89,612.2652242909307,2.44
2015-01-22,2.44,2.38,2.52,2.45,2.87,612.6033001443615,2.52
2015-01-23,2.52,2.44,2.38,2.27,2.96,612.5006662222055,2.58
2015-01-24,2.58,2.52,2.44,2.28,3.04,613.2459348722268,2.45
2015-01-25,2.45,2.58,2.52,2.34,3.02,613.4199829101562,2.53
2015-01-26,2.53,2.45,2.58,2.34,3.12,613.4199829101562,2.48
2015-01-27,2.48,2.53,2.45,2.45,3.15,613.782420828683,2.47
2015-01-28,2.47,2.48,2.53,2.35,3.07,613.6637923233992,2.50
2015-01-29,2.50,2.47,2.48,2.35,NULL,612.909462668679,2.44
2015-01-30,2.44,2.50,2.47,2.33,NULL,613.2806986889808,2.49
2015-01-31,2.49,2.44,2.50,2.36,NULL,613.6549579884746,2.55
2015-02-01,2.55,2.49,2.44,2.49,NULL,613.7000122070312,2.51
2015-02-02,2.51,2.55,2.49,2.52,NULL,613.7000122070312,2.35
2015-02-03,2.35,2.51,2.55,2.53,NULL,613.835693359375,2.58
2015-02-04,2.58,2.35,2.51,2.25,NULL,613.7275471590003,2.50
2015-02-05,2.50,2.58,2.35,2.31,NULL,613.2904406505025,2.51
2015-02-06,2.51,2.50,2.58,2.28,NULL,613.5691660288218,2.47
2015-02-07,2.47,2.51,2.50,2.24,3.57,612.8199829101562,2.57
2015-02-08,2.57,2.47,2.51,2.28,3.14,NULL,2.61
2015-02-09,2.61,2.57,2.47,2.28,3.09,NULL,2.64
